first_author,year,journal,doi,waste_domain,region,n_entities,n_obs_approx,models,validation_design,temporal_data,persistence_baseline,leakage_risk,uncertainty_reported,evidence_basis,notes,survey_batch,has_doi
Lu,2021,Waste Management,10.1016/j.wasman.2021.08.012,CDW,China (multi-city GBA),12,43,"MLR; PCA-MLR; DT; GM(1,n); GMC(1,n); ANN",holdout_random,Y,no,no,no,fulltext,50 random 80:20 splits; drivers PO GC CO FS FC; 2005-2019,A,True
Bao,2026,Process Safety and Environmental Protection,10.1016/j.psep.2026.108469,CDW,China (multi-city),12,86,RF; GBDT; LightGBM; XGBoost,unclear,Y,no,unclear,no,abstract,86 records 12 cities; extrapolated to 83 cities x 10 years,A,True
Maged,2025,Environment Development and Sustainability,10.1007/s10668-024-04814-z,CDW,China (GBA) + Egypt (Tanta),12,unclear,XGBoost (optimized); ANN; SVR; DT,unclear,Y,no,unclear,no,abstract,testing R2 0.999; split scheme paywalled; online 2024,A,True
Cha,2020,Int J Environ Res Public Health,10.3390/ijerph17196997,CDW,South Korea (building-level),3,691,Random Forest (RF-RFE feature selection),loocv,N,na,no,no,fulltext,691 of 784 buildings; 11 demolition waste types; 3 regions,A,True
Cha,2021,Int J Environ Res Public Health,10.3390/ijerph18168530,CDW,South Korea (building-level),3,690,RF; GBM,loocv,N,na,no,no,abstract,companion data to Cha 2020; bagging stabler than boosting,A,True
Cha,2024,Sustainability,10.3390/su16167064,CDW,South Korea (building-level),1,150,ANN; DT; GBM; KNN; LR; RF; SVR,holdout_random,N,na,no,no,abstract,five waste types; SHAP; train/validation/test split ratio unstated,A,True
Akanbi,2020,Journal of Cleaner Production,10.1016/j.jclepro.2020.122843,CDW,UK (building-level),1,2280,deep neural networks (3 variants),holdout_random,N,na,no,no,abstract,8:1:1 train/test/validation; salvage and waste tonnage pre-demolition,A,True
Song,2017,Waste Management,10.1016/j.wasman.2016.10.009,CDW,China (national + provinces),1,unclear,"GM(1,1)-SVR hybrid; transition matrix",unclear,Y,no,no,no,abstract,component-level forecast; claims model testing; holdout not evident,A,True
Hu,2021,Waste Management,10.1016/j.wasman.2021.04.012,CDW,China (site-level),1,206,SVM (vs BPNN MLR),unclear,N,na,no,no,abstract,206 commercial sites; five waste types three stages; R2 basis unstated,A,True
Hu,2023,Environmental Science and Pollution Research,10.1007/s11356-022-25062-6,CDW,China (Sichuan multi-city),unclear,unclear,GA-BP NN; LSTM; ARIMA,unclear,Y,no,unclear,no,abstract,spatiotemporal framework; GA-BP outperforms LSTM and ARIMA benchmarks,A,True
Gao,2025,Sustainability,10.3390/su17041711,CDW,China (national),1,23,"GM(1,1)",in_sample_fit_only,Y,no,no,no,abstract+methods,2000-2022 series; residual tests; forecast to 2032,A,True
Fang,2024,Sustainability,10.3390/su16125255,CDW,China (single city Guangzhou),1,17,"GM(1,1); ARIMA; weighted GM-ARIMA",in_sample_fit_only,Y,no,no,no,fulltext,MAPE computed on fitted 2006-2022 values; no holdout,A,True
Wang,2020,IOP Conf Ser Earth Environ Sci,10.1088/1755-1315/615/1/012033,CDW,China (multi-city 4 cities),4,28,grey model (GM),unclear,Y,no,no,no,abstract,Shenyang Dalian Guangzhou Shenzhen; yearbook 2012-2018; no validation described,A,True
Ding,2019,Sustainability,10.3390/su11164326,CDW,China (single city Shenzhen),1,unclear,"GM(1,1) + 3-scenario housing stock model",in_sample_fit_only,Y,no,no,no,fulltext,vacancy-rate approach; fit accuracy only; forecast to 2023,A,True
Zhu,2025,Environmental Technology,10.1080/09593330.2025.2506021,CDW,China (single city Guangzhou),1,unclear,"TI-TSTLNGM(1,1) with COOT optimization",unclear,Y,no,no,yes,abstract,interval grey numbers yield waste generation range; compares GM exponential smoothing,A,True
Zhang,2019,Environmental Science and Pollution Research,10.1007/s11356-019-05841-4,CDW,China (national + 31 provinces),31,unclear,"AEM/GDP/population estimation; GM(1,1); Monte Carlo trend extrapolation",unclear,Y,no,no,yes,abstract,estimation methods compared; GM + Monte Carlo forecast to 2025,A,True
Lu,2023,Journal of Cleaner Production,10.1016/j.jclepro.2023.136596,CDW,China (Hong Kong building-level),1,unclear,ML regression incl. RF XGBoost,unclear,N,na,no,no,abstract,pre-renovation auditing; inputs include renovated floors count,A,True
Coskuner,2021,Waste Management & Research,10.1177/0734242X20935181,CDW,Bahrain,1,20,MLP-ANN,unclear,Y,no,no,no,abstract,C&D stream within ANN MSW study; 1997-2016; R2 0.91,A,True
Nagalli,2021,Proc Inst Civ Eng Waste Resour Manag,10.1680/jwarm.20.00019,CDW,Brazil (Sao Paulo),1,330,ANN (Bayesian regularization); MLR benchmark,unclear,N,na,no,no,abstract,GFA and duration inputs; architecture/cycles tuned; R2 0.96,A,True
Soultanidis,2023,Waste Management & Research,10.1177/0734242X231155818,CDW,Greece (building-level),1,45,linear regression (multiple models),holdout_random,N,na,no,no,abstract,CAD ground truth; validated on two holdout buildings,A,True
Supian,2026,Sustainability,10.3390/su18105076,MSW,Indonesia (Citarum watershed),unclear,unclear,RF; XGBoost; LSTM,holdout_last_period,Y,yes,unclear,no,fulltext,Waste-generation proxies; persistence baseline; data-scarce watershed,B,True
Mullane,2025,Sustainability,10.3390/su172310707,MSW,Ireland (national),1,19,SVM; NN; naive; mean,holdout_last_period,Y,yes,no,no,fulltext,Methodology critique; naive baselines; Irish case study,B,True
Abbasi,2016,Waste Management,10.1016/j.wasman.2016.05.018,MSW,Australia (regional Queensland),unclear,unclear,ANN; ANFIS; SVM,unclear,Y,no,unclear,no,abstract,Train/val/test holdout; ANN R2=0.995 vs SVM 0.71,B,True
Kannangara,2018,Waste Management,10.1016/j.wasman.2017.11.057,MSW,Canada (Ontario),220,7920 (220 x 36 months),ANN,unclear,Y,no,unclear,no,abstract,Generation and diversion targets; socio-economic inputs; monthly panel,B,True
Intharathirat,2015,Waste Management,10.1016/j.wasman.2015.01.026,MSW,Thailand (Bangkok),1,unclear,"GM(1,N); GM(1,1)",unclear,Y,no,unclear,no,abstract,Grey models; fit diagnostics on historical series,B,True
Azadi,2016,Waste Management,10.1016/j.wasman.2015.09.034,MSW,Iran (Fars province),20,unclear,ANN; MLR,unclear,N,na,no,no,abstract,Cross-city seasonal generation rates; ANN beat MLR,B,True
Jassim,2022,Waste Management & Research,10.1177/0734242X211008526,MSW,Bahrain (national),1,23 (1997-2019),SVR; MLP-ANN,unclear,Y,no,no,no,abstract,Annual series; specific-year AFE tests; SVR-RBF best,B,True
Oguz-Ekim,2021,Environmental Engineering Science,10.1089/ees.2020.0232,MSW,Turkey (national/regional),unclear,132 monthly (2008-2018),SVR; LSTM; MLP; bagged trees,holdout_last_period,Y,no,no,no,abstract,Chronological test years; lagged values plus socioeconomics,B,True
Younes,2015,J Air & Waste Management Association,10.1080/10962247.2015.1075919,MSW,Malaysia,unclear,unclear,ANFIS (modified),unclear,Y,no,no,no,abstract,Annual generation; three socioeconomic inputs sufficed,B,True
Ceylan,2020,Waste Management & Research,10.1177/0734242X20906877,MSW,Turkey (national),1,unclear,BO-tuned GPR; Bayesian SVR; MLR,unclear,Y,no,no,no,abstract,GPR tuned by Bayesian optimization; train/test phases,B,True
Kulisz,2020,Sustainability,10.3390/su122310088,MSW,Poland (25 cities + national),26,25 + 17 annual,ANN (MLP); NAR,holdout_random,Y,no,no,no,fulltext,MATLAB random split; cross-sectional city model plus NAR,B,True
Nguyen,2021,Resources Conservation and Recycling,10.1016/j.resconrec.2020.105381,MSW,Vietnam (Thu Dau Mot 12 wards),12,108 (12 x 9 yr),MLR; KNN; SVM; RF; DNN; XGBoost,holdout_last_period,Y,no,no,no,abstract+methods,Train 2012-2018 test 2019-2020; RF best,B,True
Adamovic,2017,Environmental Science and Pollution Research,10.1007/s11356-016-7767-x,MSW,Serbia (Novi Sad),1,55 annual (1960-2014),GRNN; ARIMA; MLR,unclear,Y,no,no,no,abstract,Structural-break input for 1992 regime change,B,True
Kontokosta,2018,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2018.03.004,MSW,US (New York City buildings),1,unclear,RF,unclear,N,na,no,no,abstract,ML plus small area estimation; out-of-sample R2=0.94,B,True
Grassel,2024,Waste Management,10.1016/j.wasman.2024.07.028,MSW,US (8 southeastern states counties),unclear,unclear,RF; CBM; ANN; SVM; MLR; kNN,holdout_random,Y,no,no,no,abstract,County composition and tonnage; random 80/20 split,B,True
Puntaric,2022,Sustainability,10.3390/su141610133,MSW,Croatia and EU-27,2,50 (2 x 25 yr),ANN (MLP),holdout_random,Y,no,no,no,fulltext,Random 60/20/20; fractions from totals; near-perfect fits,B,True
Singh,2022,Environmental Science and Pollution Research,10.1007/s13762-022-04644-4,MSW,India (Guwahati Assam),1,unclear,ANN; ANFIS; SVR; RF; ARIMA,holdout_last_period,Y,no,unclear,no,abstract,Monthly series; chronological split; multi-model comparison,B,True
Priyanka,2025,Scientific Reports,10.1038/s41598-025-19288-w,MSW,India (Erode City),1,unclear,SVM; RF; Naive Bayes,random_kfold,Y,no,yes,no,abstract,Composition components predict total; leakage; 96% accuracy,B,True
